category,desc
Program Management,"Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations."
Manufacturing & Supply Chain,"Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production.
Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements, and propose and develop the manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and validation plans for engineering builds and mass production.
Drive project technical and operational issues with material, process, fixtures, equipment, etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain.
Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production.
Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters."
Technical Solutions,"Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects."
Developer Relations,"Work one-on-one with the top Android, iOS, and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms.
Conceive new features and ideas that can change how users interact with apps and Google, and help developers build them.
Conduct regular, engineering-focused meetings with developers to help them design new systems, fix bugs, improve UX, and solve complex code issues.
Work on the source code of Google's products with other engineers to identify, reproduce, and/or fix bugs that are affecting developers."
Program Management,"Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives."
Technical Solutions,"Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers."
Hardware Engineering,"Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow, equipment/fixture designs, implementation schedules and more.
Manage project technical and operational issues regarding material, process, fixtures, equipment, etc, during NPI phase.
Utilize DOE’s, FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters."
Partnerships,"Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges."
Manufacturing & Supply Chain,"Develop CM/ODM strategy and implement supplier management processes with critical partners.
Lead the creation and implementation of RFX processes for sourcing needs.
Manage the agreement creation process with the cross-functional program needs in mind.
Manage assigned manufacturing partner to program requirements in cost, quality, schedule and technology areas.
Perform periodic cost improvement ideas in terms of DFM or alternative technology choices."
Technical Solutions,"Help compile customer requirements as well as survey existing customer IT landscape to enable integrations from PoC stage to a full deployment of products managing healthcare and/or life sciences data in Google Cloud.
Define the business case for solutions, design solutions to help prototype and develop the customer’s new environment, and guide solutions through launch to market. Create training materials, guides, demonstrations and white papers and help scale solutions delivery.
Engage standards communities to drive the development of standards that meet platform and customer needs, and ensure that standards implementers know what the Google Cloud Healthcare platform can do for them.
Demonstrate thought leadership in cloud computing across multiple channels and become a trusted advisor to decision makers. Provide customer and market feedback to the Product and Engineering teams and help shape product direction.
Travel as required in-region for meetings, technical reviews and onsite delivery activities."
Product & Customer Support,"Build and maintain the Support Operations Analytics infrastructure.
Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization.
Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions.
Draw insights from analyzing data to improve Support Operations quality and efficiency.
Contribute to strategic planning around product launches."
Partnerships,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem."
Technical Solutions,"Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers."
Product & Customer Support,"Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches"
Technical Solutions,"Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time."
Technical Solutions,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Software Engineering,"Lead a team of software and systems engineers on cloud storage products used and enjoyed by users worldwide and be directly responsible for Google's stellar uptime record.
Manage end-to-end availability and performance of mission critical services and build automation to prevent problem recurrence. Eventually automate response to all non-exceptional service conditions.
Lead by example, care for your team, and establish credibility with the quality of your own and your team's technical execution.
Manage on-call rotations across continents, using a follow-the-sun model.
Design, write and deliver software to improve the availability, scalability, latency, and efficiency of Google's services."
Hardware Engineering,"Develop and implement global supply chain strategies.
Manage suppliers to ensure material availability and readiness for the development builds and mass production.
Serve as the escalation point for all supplier related issues in mass production.
Understand component lead time and evaluate associated supply chain risks."
Program Management,"Plan, coordinate, and deliver platforms hardware products.
Lead creating and maintaining credible and data-driven schedules and milestones.
Engage in technical and schedule tradeoff discussions.
Manage teams through design, development, test, manufacturing, deployment, and sustaining activities for hardware products.
Collaborate with engineering and operations teams to understand requirements and articulate the value proposition of engineering projects."
Product & Customer Support,"Apply advanced statistical methods and work with large, complex data sets.
Solve difficult, non-routine challenges, and clearly communicate highly technical results and methods.
Interact cross-functionally with a wide variety of people and teams.
Lead investigations into multiple streams of ads quality data."
